Link,Judul,Kecamatan,Lahan Parkir,Kamar Tidur,Kamar Mandi,Luas Bangunan,Luas Tanah,Harga
https://www.lamudi.co.id/jual/jawa-barat/bandung/rumah-murah-jalan-sunda-asia-afrika-jarang-ada-172189114483/,Rumah Murah Jalan Sunda Asia Afrika Jarang Ada,Antapani,6,3,4,500,568,Rp11.000.000.000
https://www.lamudi.co.id/jual/jawa-barat/bandung/rumah-minimalis-siap-huni-di-pusat-kota-172366449955/,Rumah Minimalis Siap Huni di pusat kota,Antapani,2,5,3,370,259,Rp18.000.000.000
https://www.lamudi.co.id/jual/jawa-barat/bandung/jual-murah-rumah-lokasi-premium-di-bandung-17236213503/,JUAL MURAH RUMAH LOKASI PREMIUM DI BANDUNG,Antapani,,8,6,693,1035,Rp27.000.000.000
https://www.lamudi.co.id/jual/jawa-barat/bandung/rumah-industri-di-turangga-buahbatu-dkt-sailendro-172356234731/,Rumah Industri di Turangga Buahbatu dkt Sailendro SMAN 8 Trans Studio,Antapani,2,4,3,131,108,Rp2.500.000.100
https://www.lamudi.co.id/jual/jawa-barat/bandung/rumah-ready-baru-industrial-diturangga-buahbatu-172327123269/,Rumah ready baru industrial diturangga buahbatu,Antapani,2,4,3,131,108,Rp2.500.000.000
https://www.lamudi.co.id/jual/jawa-barat/bandung/2unit-rumah-baru-modern-konsep-industrial-di-lokas-172326592966/,2UNIT RUMAH BARU MODERN KONSEP INDUSTRIAL DI LOKASI STRATEGIS TURANGGA,Antapani,,3,3,130,108,Rp2.500.000.000
https://www.lamudi.co.id/jual/jawa-barat/bandung/jual-rumah-muararajeun-katamso-supratman-172325766844/,Jual Rumah Muararajeun Katamso Supratman,Antapani,1,6,3,85,108,Rp890.000.000
https://www.lamudi.co.id/jual/jawa-barat/bandung/rumah-murah-tamansari-itb-cihampelas-172322090273/,Rumah Murah Tamansari ITB Cihampelas,Antapani,2,3,2,106,96,Rp1.599.900.000
https://www.lamudi.co.id/jual/jawa-barat/bandung/dijual-rumah-baru-modern-full-renovasi-di-lokasi-s-172318868059/,DiJUAL RUMAH BARU MODERN FULL RENOVASI DI LOKASI STRATEGIS TURANGGA,Antapani,,4,3,160,144,Rp2.350.000.000
https://www.lamudi.co.id/jual/jawa-barat/bandung/rumah-baru-konsep-skandinavian-disayap-bkr-kota-ba-172318853926/,RUMAH BARU KONSEP  SKANDINAVIAN DISAYAP BKR KOTA BANDUNG,Antapani,,3,3,123,114,Rp2.200.000.000
https://www.lamudi.co.id/jual/jawa-barat/bandung/harga-bawah-njop-mainroad-wastukencana-bandung-172310390326/,Harga Bawah NJOP Mainroad Wastukencana Bandung,Antapani,,4,4,552,512,Rp9.500.000.000
https://www.lamudi.co.id/jual/jawa-barat/bandung/dijual-murah-sekali-krn-butuh-uang-segera-rmh-2lan-172310074124/,Dijual murah sekali Krn butuh uang segera rmh 2lantai di kota bandung,Antapani,,3,2,120,62,Rp550.000.000
https://www.lamudi.co.id/jual/jawa-barat/bandung/dijual-kost-aktif-2-lantai-akses-gang-di-ahmad-yan-172308920933/,DIJUAL KOST AKTIF 2 LANTAI AKSES GANG DI AHMAD YANI BDG,Antapani,,15,4,200,168,Rp1.250.000.000
https://www.lamudi.co.id/jual/jawa-barat/bandung/dijual-kost-aktif-2-lantai-akses-gang-di-ahmad-yan-172308916327/,DIJUAL KOST AKTIF 2 LANTAI AKSES GANG DI AHMAD YANI BDG,Antapani,,15,4,200,168,Rp1.250.000.000
https://www.lamudi.co.id/jual/jawa-barat/bandung/investasi-menguntungkan-dikawasan-emas-kota-bandun-172308906580/,Investasi Menguntungkan Dikawasan Emas Kota Bandung Dekat Wisata,Antapani,,2,1,40,57,Rp455.000.000
